,Position,Department,Institute,location,link,due
277,Multiple Assistant Professor Positions,Department of Electrical Engineering and Computer Science,Florida Atlantic University,"Boca Raton, Florida",https://cra.org/job/florida-atlantic-university-multiple-assistant-professor-positions/,
278,Multiple Faculty Positions at All Ranks,Computer Science,Illinois Institute of Technology,"Chicago, Illinois",https://cra.org/job/illinois-institute-of-technology-multiple-faculty-positions-at-all-ranks/,
279,Assistant Professor of Computer Science,Comptuter Science,University of North Carolina at Greensboro,"Greensboro, North Carolina",https://cra.org/job/university-of-north-carolina-at-greensboro-assistant-professor-of-computer-science/,08/01/2024
280,"Assistant Teaching Professor, Computer Science",Department of Computer Science,Michigan Technological University,"Houghton, Michigan",https://cra.org/job/michigan-tech-university-assistant-teaching-professor-computer-science/,
281,Multiple Faculty Positions at Computer Science and Engineering,Computer Science and Engineering,University at Buffalo,"Buffalo, New York",https://cra.org/job/university-at-buffalo-multiple-faculty-positions-at-computer-science-and-engineering/,10/01/2024
282,"Assistant Professor in Applied Algebra (Cryptography, Coding Theory, and Quantum Computing)",Mathematics & Statistics,University of South Florida,"Tampa, Florida",https://cra.org/job/university-of-south-florida-assistant-professor-in-applied-algebra-cryptography-coding-theory-and-quantum-computing/,11/15/2023
283,Multiple Faculty Positions: Computer Science and Engineering Department,Computer Science and Engineering,University of Notre Dame,"Notre Dame, Indiana",https://cra.org/job/university-of-notre-dame-multiple-faculty-positions-computer-science-and-engineering-department/,11/03/2023
284,CSE @ TAMU Academic Professional Faculty – College Station,Computer Science and Engineering,Texas A&M University,"College Station, Texas",https://cra.org/job/cse-tamu-cse-tamu-academic-professional-track-faculty-positions-college-station/,12/15/2023
285,CSE @ TAMU Academic Professional Track Faculty Positions – Galveston,Computer Science and Engineering,Texas A&M University,"Galveston, Texas",https://cra.org/job/texas-am-university-cse-tamu-academic-professional-track-faculty-positions-galveston/,12/15/2023
286,"Assistant Professor of Computer Science, Tenure Track",Computer Science Department,Vassar College,"Poughkeepsie, New York",https://cra.org/job/vassar-college-assistant-professor-of-computer-science-tenure-track/,10/16/2023
287,Open Rank Faculty Position in Electrical and Computer Engineering – Superconducting Quantum Electronics,Electrical and Computer Engineering,"University of California, Riverside","Riverside, California",https://cra.org/job/university-of-california-riverside-open-rank-faculty-position-in-electrical-and-computer-engineering-superconducting-quantum-electronics/,12/01/2023
288,AI and Machine Learning Assistant Professor,College of Information Science and Technology,University of Nebraska at Omaha,"Omaha, Nebraska",https://cra.org/job/university-of-nebraska-at-omaha-ai-and-machine-learning-assistant-professor/,
289,"Multiple Faculty Positions – Computer Science, Software Engineering, Cybersecurity, and Data Science",Department of Computer Science,Baylor University,"Waco, Texas",https://cra.org/job/baylor-university-multiple-faculty-positions-computer-science-software-engineering-cybersecurity-and-data-science-2/,12/01/2023
290,Assistant/Associate Professor,Computer Science/Data Science,The University of Memphis,"Memphis, TN",https://cra.org/job/the-university-of-memphis-assistant-associate-professor/,11/01/2023
291,Assistant/Associate/Full Professors – Scientific Software and AI for the Chemical Sciences,Departments of Statistics,University of California Berkeley,"Berkeley, California",https://cra.org/job/university-of-california-berkeley-assistant-associate-full-professors-scientific-software-and-ai-for-the-chemical-sciences/,10/31/2023
